index,textDisplay
126,久しぶりに見たら32億回で腰抜かしたわw
127,このMVリリースから約半年経ってまだ#3 top music videoって笑
128,サビになると勝手にゲッターが出てきちゃう😅
129,結構ダサい
130,夜だからってコメントを絶やすな
131,再生数3.2億って...😮どこ行ってもお店で流れてる気がする
132,さぁあと475万だ
133,だれもかねをうばわれてくぅきみはかんぺきできゅうきょくのあいどん
134,私はそう欲張りなアイドルだったのか……私はそうよ2人アクア・ルビーのアイドルだとずっと思ってた………
135,本日の再生数は916142回です先週の今日が942777回なので先週比率は97.2%です先週が928257回なのでめっちゃ粘ってる😂
136,てぃしうぁちょうヴぁっぁまてrぴえせ
137,これの何がいいのか分からん
138,上位3曲は流石の神曲なんよ勇者も億超えたらいいなあの夢をなぞってハルジオン祝福三原色アンコールもはやく1億超えないかな
139,勇者が出たらYouTubeのアルゴリズムでオススメに上がりまくりまた盛り上がるかもしれん勇者とアイドルを交互に行き来するんだ言わなくてもするだろうけどな
140,昨日久しぶりに両親が家に来たから勇気を出して勧めてみたいや嘘さすがにこの歳でそれは無理だった
141,体育祭でこれが流れた時に俺は観客席でオタ芸しながら太もも叩きまくったら知らない後輩にバカ引かれてた
