index,textDisplay
169,アイドル3.4348億回←←←今ココ怪物3.0935億回夜に駆ける2.7066億回群青1.5257億回たぶん1.0796億回あの夢をなぞって9756万回ハルジオン9645万回祝福7928万回三原色7382万回アンコール6988万回ハルカ5958万回ラブレター3830万回優しい彗星3389万回アイドルEnglish ver.2855万回ツバメ2422万回大正浪漫2223万回もしも命が描けたら2166万回もう少しだけ1853万回セブンティーン1561万回アドベンチャー1487万回勇者1284万回
170,これは素晴らしい素晴らしい仕事です!
171,日本の神曲最高‼︎
172,今日のノルマは3.44億到達させることやぞサボるなよテメーら
173,君は完璧なアイドルってところが脳汁
174,半年経ってて人気3位のミュージックってマジで勢い無くならんやん
175,大好きですハハハ😂😂
176,また順位が上がっている
177,すっごいはくりょく
178,もうアニソンどころがJPOPを代表する曲になった神曲
179,神曲最高‼︎
180,途中で音楽の雰囲気がガラッと変わるところがすきです毎日歌ってるよ
181,ていうか原作でアイ亡くなってますよね
182,私は日本人で翻訳を使用していませんが彼らのグループの音楽はとても素晴らしいですね❤
183,止完施慧果不認人制
184,陳姿年負責籌畫我的第三首歌索引是李翔聖著無須改蒂己著無須己著無須改
185,コメント13万はエグいてー
186,"YALL THE RABBITS (USAGI) SYMBOLYSE THE WORD ""TO LIE"" (詐欺(sagi) ) IN JAPANESETHIS HITS WAAAAY TOO DEEP IN THE LAST SCENE WHERE SHE THROW THE RABBIT MASK AND SHE SAY ""THIS IS NOT A LIE, I LOVE YOU"""
187,本日の再生数は957439回です先週の今日が1082290回なので先週比は88.5%です日曜日としては初めて100万再生を下回りました😢
188,最新話ネタバレ注意考察最新話128話でルビーが15年の嘘でアイ役をするために衣装を着ていたけどすごくそっくりでアイドルの途中で歌ってるのって本当にアイなのかそれともアイの衣装を来て撮影のために踊っているルビーなのかって思ってしまったこのコメントが規約に違反している場合すぐに削除しますのでコメントしてくださいm(_ _)m
189,あれこの曲人気3位に上がってね
190,アニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれもう第2期を覇権だろ
191,"70歳1953年生まれCLUB夜遊会員年会費は5,280円ですLAには行けなかったが北海道のコンサートには妻と息子達夫婦と孫二人の六人で行きましたやはりLAの野外ライブをYouTubeでみると幾多りら(イクラちゃん)はとてもアクティブで素晴らしいですね日本ではアヤセが観客を煽るくらい静かな感じがしましたアイドルもいいが勇者もいいです大正浪漫はカラオケ練習中で夜に駈けるはオンチですが歌うがYOASOBI自体知らない70歳は99知らない人生は70歳から…"
192,MVはアイドルドラマはパリピ孔明だな
193,半年経って人気ランキング3位は強すぎて草
